

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2024-10-24T07:48:11PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|87GB[BWE91] 0022+6351|  6.33774 |  64.14012 |RadioS|||| 4.40|  0.000|2|0|2|1|0|0|0
2|B Cas|  6.35584 |  64.13845 |SNR||||4.152|  0.000|86|0|28|7|0|0|2
3|3C 020| 10.78825 |  52.06003 |G| 52164| 0.174000 |SUN |19.  |  0.000|216|7|83|12|9|0|0
4|3C 033| 17.22031 |  13.33732 |G| 18302| 0.061049 |SLS |15.93|  0.000|462|4|226|38|41|7|0
5|3C 048| 24.42208 |  33.15976 |QSO|110623| 0.369000 |SLS |16.06|  0.000|808|18|259|49|27|4|0
6|3C 058| 31.39511 |  64.82557 |RadioS||||3.881|  0.000|53|0|25|5|0|0|1
7|4C +61.05| 36.43216 |  62.10210 |HII|||| 9.8J|  0.000|9|0|25|4|0|4|0
8|Perseus Cluster| 49.95042 |  41.51222 |GClstr|  5155| 0.017195 |UUN |12.5J|  0.000|915|6|5|15|41|0|0
9|NGC 1275| 49.95067 |  41.51170 |G|  5297| 0.017670 |SUN |11.8B|  0.000|2128|47|657|142|172|18|0
10|NGC 1316| 50.67375 | -37.20794 |G|  1802| 0.006010 |SUN |9.4 B|  0.000|1021|26|297|67|69|24|0
11|3C 098| 59.72684 |  10.43411 |G|  9282| 0.030961 |SLS |15.93|  0.000|373|8|211|32|26|9|0
12|NGC 1491| 60.80651 |  51.31608 |HII||||     |  0.000|9|0|5|3|0|0|1
13|NRAO 0156| 60.94602 |  51.27049 |RadioS|||| 4.41|  0.000|1|0|2|1|0|0|0
14|[WB92] 0400+5100| 61.15917 |  51.12072 |RadioS|||| 4.07|  0.000|1|0|2|2|0|0|0
